size,nprocs,patch,mean_time
900,20,20,0.27823507599532604
900,20,21,0.28061980319519836
900,20,22,0.2607330108682315
900,20,23,0.2593584768474102
900,20,24,0.2630050281683604
900,20,25,0.26406299819548923
900,20,26,0.252360541994373
900,20,27,0.25318180707593757
900,20,28,0.24915202955404916
900,20,29,0.24798981783290705
900,20,30,0.2484104000031948
900,20,31,0.25165513219932717
900,20,32,0.24589541306098303
900,20,33,0.24916328365604082
900,20,34,0.2433188371360302
900,20,35,0.24424119666218758
900,20,36,0.2502127507080634
900,20,37,0.24243570615847906
900,20,38,0.24428507996102175
900,20,39,0.24598248302936554
900,20,40,0.25374230990807217
900,20,41,0.25838800830145675
900,20,42,0.25096878471473855
900,20,43,0.2517476708938678
900,20,44,0.2543692272156477
900,20,45,0.25974606225887936
900,20,46,0.25138288860519725
900,20,47,0.2577452703068654
900,20,48,0.24914045197268328
900,20,49,0.2612263672053814
900,20,50,0.25472201593220234
900,20,51,0.2513546229650577
900,20,52,0.2533349332710107
900,20,53,0.2585074106852214
900,20,54,0.25856497635444003
900,20,55,0.25302288743356866
900,20,56,0.25300352772076923
900,20,57,0.25492493249475956
